Symbol,Company Name,Exchange
ASTERDM,Aster DM Healthcare Limited,NSE
PGEL,PG Electroplast Limited,NSE
TRITURBINE,Triveni Turbine Limited,NSE
KIMS,Krishna Institute of Medical Sciences Limited,NSE
WOCKPHARMA,Wockhardt Limited,NSE
RAMCOCEM,The Ramco Cements Limited,NSE
SWANENERGY,Swan Energy Limited,NSE
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE
RATNAMANI,Ratnamani Metals & Tubes Limited,NSE
JWL,Jupiter Wagons Limited,NSE
SUNDRMFAST,Sundram Fasteners Limited,NSE
HATSUN,Hatsun Agro Product Limited,NSE
ZENTEC,Zen Technologies Limited,NSE
PNBHOUSING,PNB Housing Finance Limited,NSE
GRINDWELL,Grindwell Norton Limited,NSE
FIVESTAR,Five-Star Business Finance Limited,NSE
SKFINDIA,SKF India Limited,NSE
TVSHLTD,TVS Holdings Limited,NSE
CONCORDBIO,Concord Biotech Limited,NSE
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,NSE
NEWGEN,Newgen Software Technologies Limited,NSE
KIOCL,KIOCL Limited,NSE
ARE&M,Amara Raja Energy & Mobility Limited,NSE
MINDSPACE,Mindspace Business Parks REIT,NSE
TEJASNET,Tejas Networks Limited,NSE
SHYAMMETL,Shyam Metalics and Energy Limited,NSE
PFIZER,Pfizer Limited,NSE
CYIENT,Cyient Limited,NSE
CHALET,Chalet Hotels Limited,NSE
KANSAINER,Kansai Nerolac Paints Limited,NSE
NXST,Nexus Select Trust,NSE
DEVYANI,Devyani International Limited,NSE
APLLTD,Alembic Pharmaceuticals Limited,NSE
GSPL,Gujarat State Petronet Limited,NSE
KPIL,Kalpataru Projects International Limited,NSE
ATUL,Atul Ltd,NSE
AMBER,Amber Enterprises India Limited,NSE
IRCON,Ircon International Limited,NSE
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,NSE
WELCORP,Welspun Corp Limited,NSE
BLS,BLS International Services Limited,NSE
CASTROLIND,Castrol India Limited,NSE
JBMA,JBM Auto Limited,NSE
BIKAJI,Bikaji Foods International Limited,NSE
AFCONS,Afcons Infrastructure Limited,NSE
JINDALSAW,Jindal Saw Limited,NSE
TECHNOE,Techno Electric & Engineering Company Limited,NSE
SCHNEIDER,Schneider Electric Infrastructure Limited,NSE
ELGIEQUIP,Elgi Equipments Limited,NSE
ERIS,Eris Lifesciences Limited,NSE
LMW,LMW Limited,NSE
ASAHIINDIA,Asahi India Glass Limited,NSE
AADHARHFC,Aadhar Housing Finance Limited,NSE
KAJARIACER,Kajaria Ceramics Limited,NSE
VGUARD,V-Guard Industries Limited,NSE
HBLPOWER,HBL Engineering Limited,NSE
NCC,NCC Limited,NSE
GRSE,Garden Reach Shipbuilders & Engineers Limited,NSE
RPOWER,Reliance Power Limited,NSE
TBOTEK,TBO Tek Limited,NSE
NEULANDLAB,Neuland Laboratories Limited,NSE
KARURVYSYA,The Karur Vysya Bank Limited,NSE
ACE,Action Construction Equipment Limited,NSE
VINATIORGA,Vinati Organics Limited,NSE
FINCABLES,Finolex Cables Limited,NSE
SIGNATURE,Signatureglobal (India) Limited,NSE
TITAGARH,Titagarh Rail Systems Limited,NSE
SONATSOFTW,Sonata Software Limited,NSE
CAPLIPOINT,Caplin Point Laboratories Limited,NSE
PCBL,PCBL Chemical Limited,NSE
CIEINDIA,CIE Automotive India Limited,NSE
ZENSARTECH,Zensar Technologies Limited,NSE
PTCIL,PTC Industries Limited,NSE
IIFL,IIFL Finance Limited,NSE
IDFC,IDFC Limited,NSE
BATAINDIA,Bata India Limited,NSE
KIRLOSBROS,Kirloskar Brothers Limited,NSE
CELLO,Cello World Limited,NSE
TRIDENT,Trident Limited,NSE
CENTURYPLY,Century Plyboards (India) Limited,NSE
EIDPARRY,E.I.D.- Parry (India) Limited,NSE
BLUEDART,Blue Dart Express Limited,NSE
BEML,BEML Limited,NSE
DOMS,DOMS Industries Limited,NSE
ANANDRATHI,Anand Rathi Wealth Limited,NSE
JUBLPHARMA,Jubilant Pharmova Limited,NSE
JAIBALAJI,Jai Balaji Industries Limited,NSE
ECLERX,eClerx Services Limited,NSE
DCMSHRIRAM,DCM Shriram Limited,NSE
SARDAEN,Sarda Energy & Minerals Limited,NSE
SOBHA,Sobha Limited,NSE
NAVINFLUOR,Navin Fluorine International Limited,NSE
TARIL,Transformers and Rectifiers (India) Limited,NSE
HFCL,HFCL Limited,NSE
AKZOINDIA,Akzo Nobel India Limited,NSE
ASTRAZEN,AstraZeneca Pharma India Limited,NSE
RKFORGE,Ramkrishna Forgings Limited,NSE
REDINGTON,Redington Limited,NSE
JSWHL,JSW Holdings Limited,NSE
BSOFT,Birlasoft Limited,NSE
IFCI,IFCI Limited,NSE
GRAVITA,Gravita India Limited,NSE
RRKABEL,R R Kabel Limited,NSE
IEX,Indian Energy Exchange Limited,NSE
UTIAMC,UTI Asset Management Company Limited,NSE
RAINBOW,Rainbow Children's Medicare Limited,NSE
WELSPUNLIV,Welspun Living Limited,NSE
RELAXO,Relaxo Footwears Limited,NSE
CGCL,Capri Global Capital Limited,NSE
NETWEB,Netweb Technologies India Limited,NSE
CLEAN,Clean Science and Technology Limited,NSE
MANAPPURAM,Manappuram Finance Limited,NSE
BBTC,"The Bombay Burmah Trading Corporation, Limited",NSE
TTML,Tata Teleservices (Maharashtra) Limited,NSE
VTL,Vardhman Textiles Limited,NSE
APTUS,Aptus Value Housing Finance India Limited,NSE
KIRLOSENG,Kirloskar Oil Engines Limited,NSE
PRAJIND,Praj Industries Limited,NSE
GRINFRA,G R Infraprojects Limited,NSE
FINPIPE,Finolex Industries Limited,NSE
AARTIIND,Aarti Industries Limited,NSE
FINEORG,Fine Organic Industries Limited,NSE
NAVA,Nava Limited,NSE
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,NSE
DATAPATTNS,Data Patterns (India) Limited,NSE
GRANULES,Granules India Limited,NSE
LTFOODS,LT Foods Limited,NSE
SANOFI,Sanofi India Limited,NSE
GESHIP,The Great Eastern Shipping Company Limited,NSE
GPIL,Godawari Power & Ispat Limited,NSE
ACMESOLAR,ACME Solar Holdings Limited,NSE
INDGN,Indegene Limited,NSE
GODREJAGRO,Godrej Agrovet Limited,NSE
MARKSANS,Marksans Pharma Limited,NSE
JYOTHYLAB,Jyothy Labs Limited,NSE
NIVABUPA,Niva Bupa Health Insurance Company Limited,NSE
PVRINOX,PVR INOX Limited,NSE
RITES,RITES Limited,NSE
ELECON,Elecon Engineering Company Limited,NSE
INDIAMART,IndiaMART InterMESH Limited,NSE
KSB,KSB Limited,NSE
SPLPETRO,Supreme Petrochem Limited,NSE
BIRET,Brookfield India Real Estate Trust,NSE
AAVAS,Aavas Financiers Limited,NSE
SAFARI,Safari Industries (India) Limited,NSE
INGERRAND,Ingersoll-Rand (India) Limited,NSE
JPPOWER,Jaiprakash Power Ventures Limited,NSE
CUB,City Union Bank Limited,NSE
CREDITACC,CreditAccess Grameen Limited,NSE
WESTLIFE,Westlife Foodworld Limited,NSE
RAILTEL,RailTel Corporation of India Limited,NSE
NSLNISP,NMDC Steel Limited,NSE
NUVOCO,Nuvoco Vistas Corporation Limited,NSE
JMFINANCIL,JM Financial Limited,NSE
GLS,Glenmark Life Sciences Limited,NSE
CRAFTSMAN,Craftsman Automation Limited,NSE
IWEL,Inox Wind Energy Limited,NSE
RAYMONDLSL,Raymond Lifestyle Limited,NSE
CEATLTD,CEAT Limited,NSE
ZYDUSWELL,Zydus Wellness Limited,NSE
LEMONTREE,Lemon Tree Hotels Limited,NSE
OLECTRA,Olectra Greentech Limited,NSE
JUBLINGREA,Jubilant Ingrevia Limited,NSE
ZEEL,Zee Entertainment Enterprises Limited,NSE
MGL,Mahanagar Gas Limited,NSE
MINDACORP,Minda Corporation Limited,NSE
EDELWEISS,Edelweiss Financial Services Limited,NSE
REDTAPE,REDTAPE Limited,NSE
PRUDENT,Prudent Corporate Advisory Services Limited,NSE
AETHER,Aether Industries Limited,NSE
GRWRHITECH,Garware Hi-Tech Films Limited,NSE
RAYMOND,Raymond Limited,NSE
NETWORK18,Network18 Media & Investments Limited,NSE
RELINFRA,Reliance Infrastructure Limited,NSE
INTELLECT,Intellect Design Arena Limited,NSE
TTKPRESTIG,TTK Prestige Limited,NSE
USHAMART,Usha Martin Limited,NSE
MMTC,MMTC Limited,NSE
ISGEC,Isgec Heavy Engineering Limited,NSE
EUREKAFORB,Eureka Forbes Limited,NSE
SAMMAANCAP,Sammaan Capital Limited,NSE
SHAKTIPUMP,Shakti Pumps (India) Limited,NSE
GRAPHITE,Graphite India Limited,NSE
MAHSCOOTER,Maharashtra Scooters Ltd.,NSE
BBOX,Black Box Limited,NSE
BALRAMCHIN,Balrampur Chini Mills Limited,NSE
ARVIND,Arvind Limited,NSE
ABDL,Allied Blenders and Distillers Limited,NSE
GENUSPOWER,Genus Power Infrastructures Limited,NSE
TEGA,Tega Industries Limited,NSE
VIJAYA,Vijaya Diagnostic Centre Limited,NSE
CHOICEIN,Choice International Limited,NSE
TIMETECHNO,Time Technoplast Limited,NSE
SYRMA,Syrma SGS Technology Limited,NSE
